WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT AMERICAN SAMOA 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SMON2O_WK.DAT
NUMBER OF OBSERVATIONS = 888
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1980 209 274  6.0 301.1  1   1.0119 338.4400
1980 215 275  0.1 297.0  0   1.0124 338.2900
1980 222 276  1.1 299.8  0   1.0123 338.3000
1980 222 276  3.8 301.4  0   1.0123 338.3000
1980 229 277  2.6 299.1  2
1980 229 277 20.3 334.1  7   1.0115 338.5000
1980 235 278  3.8 297.5  2
1980 235 278  7.3 305.5  3   1.0108 338.0600
1980 243 279  3.0 302.6  0   1.0094 338.2000
1980 243 279  5.0 298.9  1   1.0094 338.2000
1980 250 280  1.9 299.1  0   1.0102 338.1200
1980 250 280  1.8 299.5  0   1.0102 338.1200
1980 257 281  1.3 302.4  2
1980 257 281  0.0 313.9  6   1.0146 338.1700
1980 271 282  3.4 300.0  0   1.0102 338.4700
1980 271 282  1.2 306.1  0   1.0102 338.4700
1980 278 283  1.1 299.3  0   1.0118 338.3000
1980 278 283  0.4 303.5  0   1.0118 338.3000
1980 285 284  4.4 302.3  1   1.0082 338.3900
1980 285 284  6.3 300.0  1   1.0082 338.3900
1980 292 285  2.9 300.4  0   1.0088 338.2000
1980 292 285  0.7 300.7  0   1.0088 338.2000
1980 300 286  1.5 302.9  2
1980 300 286  5.3 294.8  3   1.0127 340.2400
1980 307 287  0.4 298.2  0   1.0114 338.0500
1980 307 287  1.6 300.6  0   1.0114 338.0500
1980 315 288  1.8 299.6  0   1.0108 338.3500
1980 315 288  2.3 294.6  0   1.0108 338.3500
1980 334 289  3.6 297.3  0   1.0111 338.9500
1980 334 289  2.0 296.3  0   1.0111 338.9500
1980 343 290  0.9 295.9  0   1.0091 338.6700
1980 343 290  3.4 299.8  0   1.0091 338.6700
